date,shift,milktype,kgs,ltrs,fat,snf,centercode,,,
3-25-2021,AM,CM,40.1,38.93,3.90,8.20,103,,,40.0979
3-26-2021,AM,CM,41.4,40.19,4.00,8.10,103,,,41.3957
3-27-2021,AM,CM,25,24.27,4.00,8.20,103,,,24.9981
3-25-2021,PM,CM,34.1,33.11,3.90,8.00,103,,,34.1033
3-26-2021,PM,CM,41.2,40.00,4.00,8.10,103,,,41.2
3-27-2021,PM,CM,35.5,34.47,3.90,8.10,103,,,35.5041
3-28-2021,AM,CM,26.2,25.44,4.00,8.10,103,,,26.2032
3-29-2021,AM,CM,39,37.86,4.00,8.20,103,,,38.9958
3-30-2021,AM,CM,40.7,39.51,4.00,8.10,103,,,40.6953
3-31-2021,AM,CM,30,29.13,4.00,8.10,103,,,30.0039
3-28-2021,PM,CM,26.2,25.47,4.10,8.20,103,,,26.2341
3-29-2021,PM,CM,28.7,27.86,3.90,8.10,103,,,28.6958
3-30-2021,PM,CM,28.1,27.28,3.90,8.10,103,,,28.0984
3-31-2021,PM,CM,30.6,29.71,4.00,8.10,103,,,30.6013
