Date,Shift,Milk Type,kgs,ltrs,Fat ,SNF,Center Code,,
3-1-2021,AM,CM,14.9,14.47,4.00,8.10,313,,14.9041
3-4-2021,AM,CM,14.6,14.17,4.10,8.10,313,,14.5951
3-5-2021,AM,CM,10,9.71,4.00,8.00,313,,10.0013
3-6-2021,AM,CM,16.2,15.73,4.10,8.10,313,,16.2019
3-7-2021,AM,CM,11.2,10.87,3.90,8.00,313,,11.1961
3-8-2021,AM,CM,10.7,10.39,3.70,8.00,313,,10.7017
3-9-2021,AM,CM,7.3,7.09,4.00,8.20,313,,7.3027
3-11-2021,AM,CM,17.5,16.99,4.10,8.10,313,,17.4997
3-12-2021,AM,CM,7.2,6.99,3.90,8.10,313,,7.1997
3-14-2021,AM,CM,15.8,15.34,4.00,8.10,313,,15.8002
