Date,Shift,Milk Type,Kgs,Ltrs,Fat,SNF,Center Code
03-01-2021,AM,CM,305.73,,4.2,8.4,102
03-02-2021,AM,CM,347.48,,4.5,8.6,102
03-03-2021,AM,CM,294.37,,4.2,8.5,102
03-04-2021,AM,CM,289.13,,4.4,8.6,102
03-05-2021,AM,CM,302.62,,4.4,8.6,102
03-06-2021,AM,CM,271.07,,4.4,8.4,102
03-01-2021,AM,CM,191.17,,4.2,8.3,105
03-02-2021,AM,CM,326.21,,4.5,8.4,105
03-03-2021,AM,CM,284.47,,4.3,8.3,105
03-04-2021,AM,CM,203.88,,4.3,8.3,105
03-05-2021,AM,CM,243.98,,4.5,8.5,105
03-06-2021,AM,CM,245.83,,4.3,8.4,105
03-01-2021,AM,CM,198.35,,4.4,8.5,107
03-03-2021,AM,CM,229.81,,4.4,8.4,107
03-04-2021,AM,CM,194.17,,4.5,8.4,107
03-05-2021,AM,CM,198.83,,4.3,8.4,107
03-06-2021,AM,CM,232.91,,4.3,8.4,107
03-01-2021,AM,CM,10.19,,4.1,8.1,305
03-02-2021,AM,CM,10.39,,4.2,8.2,305
03-03-2021,AM,CM,10,,4.2,8.2,305
03-04-2021,AM,CM,10.1,,4.2,8.2,305
03-05-2021,AM,CM,10.19,,4.1,8.1,305
03-06-2021,AM,CM,10.1,,4,8,305
03-01-2021,AM,CM,9.81,,4,8,306
03-01-2021,AM,CM,31.84,,4.1,8.2,307
03-02-2021,AM,CM,25.15,,4.1,8.1,307
03-03-2021,AM,CM,27.18,,4.2,8.1,307
03-04-2021,AM,CM,28.64,,4.2,8.2,307
03-01-2021,AM,CM,39.13,,4.1,8.1,308
03-02-2021,AM,CM,38.16,,4.1,8.2,308
03-03-2021,AM,CM,39.9,,4,8.2,308
03-04-2021,AM,CM,39.42,,4,8.4,308
03-01-2021,AM,CM,3.69,,4.1,8.2,311
03-01-2021,AM,CM,14.47,,4,8.1,313
03-04-2021,AM,CM,14.17,,4.1,8.1,313
03-05-2021,AM,CM,9.71,,4,8,313
03-06-2021,AM,CM,15.73,,4.1,8.1,313
03-01-2021,AM,CM,21.07,,4,8,315
03-02-2021,AM,CM,24.76,,4.1,8.1,315
03-02-2021,AM,CM,9.71,,4,8.1,315
03-03-2021,AM,CM,17.48,,4,8.1,315
03-04-2021,AM,CM,19.32,,4,8,315
03-05-2021,AM,CM,25.44,,4,8.2,315
03-06-2021,AM,CM,24.66,,4.1,8,315
03-01-2021,AM,CM,32.43,,4.2,8.1,316
03-02-2021,AM,CM,34.95,,4.1,8.2,316
03-05-2021,AM,CM,30.58,,4.2,8.2,316
03-06-2021,AM,CM,35.44,,4.1,8,316
03-03-2021,AM,CM,35.44,,4.1,8.2,316
03-04-2021,AM,CM,39.22,,4.1,8.2,316
03-01-2021,AM,CM,12.04,,4.1,8,317
